Ticker Symbol,Period Ending,Accounts Payable,Accounts Receivable,Add'l income/expense items,After Tax ROE,Capital Expenditures,Cash Ratio,Cash and Cash Equivalents,Changes in Inventories,Common Stocks,Cost of Revenue,Current Ratio,Earnings Before Interest and Tax,Fixed Assets,Gross Margin,Gross Profit,Income Tax,Inventory,Investments,Liabilities,Net Borrowings,Net Cash Flow,Net Income,Net Income Applicable to Common Shareholders,Operating Income,Operating Margin,Profit Margin,Retained Earnings,Total Assets,Total Liabilities,Earnings Per Share
BLL,2014-12-31,1609900000.0,-152300000.0,-33100000.0,45.0,-390800000.0,10.0,191400000.0,-23800000.0,1131300000.0,6903500000.0,115.0,805500000.0,2430700000.0,19.0,1666500000.0,149900000.0,1016700000.0,0.0,363300000.0,-417700000.0,-224600000.0,470000000.0,470000000.0,838600000.0,10.0,5.0,4346900000.0,2313500000.0,7571000000.0,138643067.847
BLL,2015-12-31,1730200000.0,34800000.0,-116500000.0,22.0,-527900000.0,10.0,224000000.0,96900000.0,961700000.0,6460300000.0,102.0,488700000.0,2685900000.0,19.0,1536700000.0,47000000.0,898400000.0,0.0,-18000000.0,2001200000.0,32600000.0,280900000.0,280900000.0,605200000.0,8.0,4.0,4557500000.0,2184000000.0,9777000000.0,137024390.244
BMY,2012-12-31,6628000000.0,648000000.0,80000000.0,14.0,-548000000.0,34.0,1656000000.0,-103000000.0,221000000.0,4610000000.0,115.0,2340000000.0,5333000000.0,74.0,13011000000.0,-161000000.0,1657000000.0,1283000000.0,13000000.0,-109000000.0,-4120000000.0,1960000000.0,1960000000.0,2260000000.0,13.0,11.0,32733000000.0,9521000000.0,35897000000.0,1675213675.21
BMY,2013-12-31,6394000000.0,-504000000.0,-205000000.0,17.0,-537000000.0,36.0,3586000000.0,-45000000.0,221000000.0,4619000000.0,152.0,2891000000.0,4579000000.0,72.0,11766000000.0,311000000.0,1498000000.0,-44000000.0,1503000000.0,1090000000.0,1930000000.0,2563000000.0,2563000000.0,3096000000.0,19.0,16.0,32952000000.0,18916000000.0,38592000000.0,1642948717.95
BMY,2014-12-31,6704000000.0,-252000000.0,-210000000.0,13.0,-526000000.0,88.0,5571000000.0,-254000000.0,221000000.0,3932000000.0,173.0,2381000000.0,4417000000.0,75.0,11947000000.0,352000000.0,1560000000.0,-1624000000.0,740000000.0,-432000000.0,1985000000.0,2004000000.0,2004000000.0,2591000000.0,16.0,13.0,32541000000.0,14608000000.0,33749000000.0,1656198347.11
BMY,2015-12-31,6875000000.0,-942000000.0,187000000.0,11.0,-820000000.0,53.0,2385000000.0,97000000.0,221000000.0,3909000000.0,130.0,2077000000.0,4412000000.0,76.0,12651000000.0,446000000.0,1221000000.0,-349000000.0,-654000000.0,-1138000000.0,-3186000000.0,1565000000.0,1565000000.0,1890000000.0,11.0,9.0,31613000000.0,10415000000.0,31748000000.0,1664893617.02
BSX,2012-12-31,1516000000.0,37000000.0,37000000.0,59.0,-226000000.0,12.0,207000000.0,66000000.0,15000000.0,2349000000.0,171.0,-3846000000.0,1564000000.0,68.0,4900000000.0,-39000000.0,884000000.0,-13000000.0,269000000.0,-19000000.0,-60000000.0,-4068000000.0,-4068000000.0,-3868000000.0,53.0,56.0,-8449000000.0,3022000000.0,17154000000.0,1407612456.75
BSX,2013-12-31,1594000000.0,-101000000.0,19000000.0,2.0,-245000000.0,12.0,217000000.0,-7000000.0,16000000.0,2174000000.0,165.0,101000000.0,1546000000.0,70.0,4969000000.0,-102000000.0,897000000.0,-39000000.0,200000000.0,-10000000.0,10000000.0,-121000000.0,-121000000.0,120000000.0,2.0,2.0,-8570000000.0,3011000000.0,16571000000.0,1344444444.44
BSX,2014-12-31,2212000000.0,53000000.0,20000000.0,2.0,-259000000.0,21.0,587000000.0,-81000000.0,16000000.0,2210000000.0,127.0,-293000000.0,1507000000.0,70.0,5170000000.0,-390000000.0,946000000.0,-12000000.0,1023000000.0,0.0,370000000.0,-119000000.0,-119000000.0,-301000000.0,4.0,2.0,-8689000000.0,3606000000.0,17024000000.0,1322222222.22
BSX,2015-12-31,2179000000.0,-17000000.0,-39000000.0,4.0,-247000000.0,13.0,319000000.0,3000000.0,16000000.0,2173000000.0,143.0,-366000000.0,1490000000.0,71.0,5304000000.0,-411000000.0,1016000000.0,-205000000.0,317000000.0,1430000000.0,-268000000.0,-239000000.0,-239000000.0,-327000000.0,4.0,3.0,-8927000000.0,3471000000.0,18133000000.0,1327777777.78
